ID,DESCRIPTION,ISBN,NUMBER_OF_PAGES,PICTURE,TITLE,CATEGORY_ID
1,A fantasy novel about a young hero discovering his destiny.,978-054-792822-7,310,https://example.com/hobbit.jpg,The Hobbit,1
2,A dystopian novel about totalitarian surveillance and control.,978-045-152493-5,328,https://example.com/1984.jpg,1984,2
3,A science fiction epic set on a desert planet.,978-044-117271-9,412,https://example.com/dune.jpg,Dune,3
4,A novel exploring race and injustice in the Deep South.,978-006-112008-4,336,https://example.com/mockingbird.jpg,To Kill a Mockingbird,4
5,A philosophical novel about absurdity and rebellion.,978-067-972020-1,123,https://example.com/stranger.jpg,The Stranger,5
6,A classic novel of manners and marriage.,978-014-143951-8,279,https://example.com/pride.jpg,Pride and Prejudice,1
7,A novel about the dangers of censorship and ignorance.,978-145-167331-9,249,https://example.com/fahrenheit.jpg,Fahrenheit 451,2
8,A dark fantasy about power and corruption.,978-055-357340-4,694,https://example.com/got.jpg,A Game of Thrones,1
9,A story of survival and human resilience.,978-038-548451-0,177,https://example.com/lifeofpi.jpg,Life of Pi,3
10,A mystery novel featuring a brilliant detective.,978-006-207348-8,307,https://example.com/sherlock.jpg,The Hound of the Baskervilles,5
11,A novel about friendship during the Great Depression.,978-014-017739-8,187,https://example.com/mice.jpg,Of Mice and Men,4
12,A science fiction story about time travel.,978-055-329335-7,193,https://example.com/timemachine.jpg,The Time Machine,3
13,A gothic novel about ambition and creation.,978-048-628211-4,280,https://example.com/frankenstein.jpg,Frankenstein,2
14,A philosophical novel about free will and morality.,978-014-044913-6,430,https://example.com/brothers.jpg,The Brothers Karamazov,5
15,A young wizard begins his magical education.,978-043-970818-0,309,https://example.com/hp1.jpg,Harry Potter and the Sorcerer's Stone,1
16,A novel about the destructive nature of obsession.,978-150-328078-6,378,https://example.com/mobydick.jpg,Moby-Dick,4
17,A satirical novel about war and bureaucracy.,978-038-533384-9,453,https://example.com/catch22.jpg,Catch-22,5
18,A novel exploring artificial intelligence and humanity.,978-038-517725-2,255,https://example.com/robot.jpg,"I, Robot",3
19,A suspenseful novel about psychological manipulation.,978-030-747427-8,431,https://example.com/gonegirl.jpg,Gone Girl,2
20,A novel about dreams within dreams.,978-030-774365-7,296,https://example.com/inception.jpg,Inception,3
