ID,DESCRIPTION,ISBN,NUMBER_OF_PAGES,PICTURE,TITLE,CATEGORY_ID
1,A fantasy novel about a young wizard discovering his destiny.,978-0-7475-3269-9,223,https://covers.openlibrary.org/b/isbn/9780747532699-L.jpg,Harry Potter and the Philosopher's Stone,1
2,A classic novel exploring racial injustice in the Deep South.,978-0-06-112008-4,336,https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg,To Kill a Mockingbird,2
3,A dystopian novel about surveillance and totalitarianism.,978-0-452-28423-4,328,https://covers.openlibrary.org/b/isbn/9780452284234-L.jpg,1984,2
4,An epic fantasy adventure in Middle-earth.,978-0-618-00222-8,423,https://covers.openlibrary.org/b/isbn/9780618002228-L.jpg,The Fellowship of the Ring,1
5,A philosophical novel about meaning and existence.,978-0-14-118280-3,123,https://covers.openlibrary.org/b/isbn/9780141182803-L.jpg,The Stranger,3
6,A science fiction story about space exploration and survival.,978-0-553-38016-3,369,https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg,The Martian,4
7,A romance novel set during World War II.,978-1-4516-7321-8,544,https://covers.openlibrary.org/b/isbn/9781451673218-L.jpg,The Book Thief,2
8,A thriller involving secret societies and religious mysteries.,978-0-385-50420-8,689,https://covers.openlibrary.org/b/isbn/9780385504208-L.jpg,The Da Vinci Code,5
9,A coming-of-age story about friendship and loss.,978-0-316-76948-0,277,https://covers.openlibrary.org/b/isbn/9780316769480-L.jpg,The Catcher in the Rye,2
10,A novel about the dangers of censorship and ignorance.,978-1-4516-7331-7,194,https://covers.openlibrary.org/b/isbn/9781451673317-L.jpg,Fahrenheit 451,4
11,A mystery novel featuring a brilliant detective.,978-0-06-207348-8,304,https://covers.openlibrary.org/b/isbn/9780062073488-L.jpg,The Girl with the Dragon Tattoo,5
12,A science fiction epic about politics and power.,978-0-441-17271-9,412,https://covers.openlibrary.org/b/isbn/9780441172719-L.jpg,Dune,4
13,A historical novel about love and war.,978-1-250-30743-2,448,https://covers.openlibrary.org/b/isbn/9781250307432-L.jpg,All the Light We Cannot See,2
14,A dark fantasy novel filled with political intrigue.,978-0-553-10354-0,694,https://covers.openlibrary.org/b/isbn/9780553103540-L.jpg,A Game of Thrones,1
15,A motivational book about habits and success.,978-0-7352-1129-2,320,https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg,Atomic Habits,3
16,A classic adventure about survival on an island.,978-0-14-143982-2,224,https://covers.openlibrary.org/b/isbn/9780141439822-L.jpg,Robinson Crusoe,2
17,A novel exploring obsession and revenge.,978-0-14-243724-7,585,https://covers.openlibrary.org/b/isbn/9780142437247-L.jpg,Moby-Dick,2
18,A psychological thriller about an unreliable narrator.,978-1-59463-402-4,325,https://covers.openlibrary.org/b/isbn/9781594634024-L.jpg,Gone Girl,5
19,A self-help book about mindset and growth.,978-0-345-47232-8,320,https://covers.openlibrary.org/b/isbn/9780345472328-L.jpg,Mindset,3
20,A science fiction novel about virtual reality.,978-0-307-88744-3,374,https://covers.openlibrary.org/b/isbn/9780307887443-L.jpg,Ready Player One,4
