ID,DESCRIPTION,ISBN,NUMBER_OF_PAGES,PICTURE,TITLE,CATEGORY_ID
1,A fantasy novel about a young wizard discovering his destiny.,978-0-7475-3269-9,223,https://images-na.ssl-images-amazon.com/images/I/81YOuOGFCJL.jpg,Harry Potter and the Philosopher's Stone,1
2,A classic novel exploring racial injustice in the Deep South.,978-0-06-112008-4,336,https://images-na.ssl-images-amazon.com/images/I/81OdwZG2%2BJL.jpg,To Kill a Mockingbird,2
3,A dystopian novel about surveillance and totalitarianism.,978-0-452-28423-4,328,https://images-na.ssl-images-amazon.com/images/I/71kxa1-0mfL.jpg,1984,2
4,An epic fantasy adventure in Middle-earth.,978-0-618-00222-8,423,https://images-na.ssl-images-amazon.com/images/I/91b0C2YNSrL.jpg,The Fellowship of the Ring,1
5,A philosophical novel about meaning and existence.,978-0-14-118280-3,123,https://images-na.ssl-images-amazon.com/images/I/71QKQ9mwV7L.jpg,The Stranger,3
6,A science fiction story about space exploration and survival.,978-0-553-38016-3,369,https://images-na.ssl-images-amazon.com/images/I/81vpsIs58WL.jpg,The Martian,4
7,"A story about courage, friendship, and survival during WWII.",978-1-4516-7321-8,544,https://images-na.ssl-images-amazon.com/images/I/81eB+7+CkUL.jpg,The Book Thief,2
8,A thriller involving secret societies and religious mysteries.,978-0-385-50420-8,689,https://images-na.ssl-images-amazon.com/images/I/91Q5dCjc2KL.jpg,The Da Vinci Code,5
9,A coming-of-age story about teenage alienation.,978-0-316-76948-0,277,https://images-na.ssl-images-amazon.com/images/I/71nXPGovoTL.jpg,The Catcher in the Rye,2
10,A novel about censorship and the destruction of knowledge.,978-1-4516-7331-7,194,https://images-na.ssl-images-amazon.com/images/I/71OFqSRFDgL.jpg,Fahrenheit 451,4
11,A mystery thriller featuring a complex investigation.,978-0-06-207348-8,304,https://images-na.ssl-images-amazon.com/images/I/81AFhcqYpZL.jpg,The Girl with the Dragon Tattoo,5
12,"A science fiction epic about politics, religion, and power.",978-0-441-17271-9,412,https://images-na.ssl-images-amazon.com/images/I/91A5r1xv3EL.jpg,Dune,4
13,A WWII story about humanity and hope.,978-1-250-30743-2,448,https://images-na.ssl-images-amazon.com/images/I/81bGKUa1e0L.jpg,All the Light We Cannot See,2
14,A brutal fantasy tale of power and betrayal.,978-0-553-10354-0,694,https://images-na.ssl-images-amazon.com/images/I/91dSMhdIzTL.jpg,A Game of Thrones,1
15,A practical guide to building better habits.,978-0-7352-1129-2,320,https://images-na.ssl-images-amazon.com/images/I/81wgcld4wxL.jpg,Atomic Habits,3
16,A survival adventure on a deserted island.,978-0-14-143982-2,224,https://images-na.ssl-images-amazon.com/images/I/81F4S6YB5JL.jpg,Robinson Crusoe,2
17,A classic novel about obsession and revenge at sea.,978-0-14-243724-7,585,https://images-na.ssl-images-amazon.com/images/I/81prVbJ8YTL.jpg,Moby-Dick,2
18,A psychological thriller about deception and marriage.,978-1-59463-402-4,325,https://images-na.ssl-images-amazon.com/images/I/81f0ZzZKJcL.jpg,Gone Girl,5
19,A self-help book about developing a growth mindset.,978-0-345-47232-8,320,https://images-na.ssl-images-amazon.com/images/I/81tEgsxpNZS.jpg,Mindset,3
20,A sci-fi adventure in a virtual reality universe.,978-0-307-88744-3,374,https://images-na.ssl-images-amazon.com/images/I/91X7H3jv8yL.jpg,Ready Player One,4
